brand,processor,ram(GB),ssd(GB),hdd(GB),os,gpu,screen_size(inches),resolution(pixels),no_of_cores,no_of_threads,spec_score,price
14,10,8,512,0,4,123,15.6,7,2,4,62,33921
9,41,8,512,0,4,38,15.6,7,6,12,66,56150
14,10,8,256,1000,4,123,15.6,7,2,4,66,35499
3,105,8,512,0,4,102,16.0,1,6,12,66,48990
9,11,8,512,0,4,121,15.6,7,4,8,63,52990
14,11,8,256,1000,4,38,15.6,7,4,8,73,56700
12,20,16,512,0,4,148,15.6,7,14,20,65,87620
9,30,8,512,0,4,96,15.6,3,2,2,57,29212
6,15,8,512,0,4,140,15.6,7,6,8,61,44087
6,10,8,512,0,4,140,15.56,7,2,4,59,38800
3,109,16,512,0,4,38,15.6,7,8,16,68,65990
2,66,8,256,0,2,108,13.3,16,8,0,47,83900
9,15,8,512,0,4,140,15.6,7,6,8,60,46790
9,16,8,512,0,4,132,15.6,7,10,12,61,58530
6,16,8,512,0,4,140,15.6,7,10,12,55,57223
3,39,8,512,0,4,38,15.6,7,6,12,69,49990
9,34,8,256,0,4,91,15.6,7,2,4,57,28490
9,41,8,512,0,4,38,15.6,7,6,12,72,59800
18,11,8,512,0,4,134,14.0,4,4,8,61,49990
3,105,16,512,0,4,103,16.0,8,6,12,67,53990
2,67,8,256,0,2,77,13.6,18,8,0,48,107990
3,7,8,0,1000,4,140,14.0,7,2,4,51,29890
9,10,8,512,0,4,123,15.6,7,2,4,56,41900
14,40,8,512,0,4,96,15.6,7,6,12,60,38480
14,40,8,512,0,4,96,15.6,7,6,12,55,38489
14,70,4,256,0,4,98,14.0,7,2,4,41,18990
3,10,8,512,0,4,140,15.6,7,2,4,41,35978
9,16,8,512,0,4,38,15.6,7,8,12,73,69990
9,10,8,512,0,4,140,15.6,7,2,4,60,40880
3,39,8,512,0,4,38,17.3,7,6,12,67,52990
9,16,8,512,0,4,132,15.6,7,12,16,62,62990
9,35,8,512,0,4,96,15.6,7,4,8,59,37990
6,16,8,256,1000,4,134,15.6,7,10,12,53,57990
9,33,8,0,1000,4,96,14.0,7,2,4,59,27890
1,34,4,256,0,4,100,14.0,3,2,4,50,20990
1,16,8,512,0,4,46,15.6,7,12,16,74,64990
6,18,16,512,0,4,123,13.3,7,12,16,65,84918
15,99,8,512,0,4,31,15.6,7,6,12,68,47990
14,40,16,512,0,4,91,14.0,8,6,12,74,61100
9,16,8,512,0,4,38,15.6,7,8,12,71,67990
14,34,8,512,0,4,96,15.6,7,2,4,60,34300
3,16,16,512,0,4,131,15.6,7,12,16,65,73000
14,73,4,0,128,4,141,10.1,2,4,2,49,22999
12,7,8,256,0,4,123,14.0,7,2,4,44,37999
18,11,8,512,0,4,134,14.0,4,4,8,61,39990
12,18,16,512,0,4,121,15.6,7,14,20,63,64990
3,12,16,512,0,4,134,15.6,7,4,8,63,56799
14,41,8,512,0,4,38,15.6,7,6,12,69,55990
3,99,8,512,0,4,96,14.0,20,6,12,69,53000
9,16,16,512,0,4,121,14.0,7,10,12,68,73490
14,47,8,512,0,4,38,15.6,7,6,12,69,58490
3,115,16,512,0,4,40,15.6,7,8,16,69,58990
3,39,8,512,0,4,38,15.6,7,6,12,69,54990
9,41,8,512,0,4,46,15.6,7,6,12,72,67600
14,16,16,512,0,4,134,15.6,7,10,12,66,72490
1,16,16,512,0,4,45,15.6,7,12,16,69,62990
3,10,8,512,0,4,140,15.6,7,2,4,41,35325
9,16,16,512,0,4,117,14.0,7,10,12,57,63990
3,15,8,512,0,4,132,15.6,7,10,12,54,42300
14,16,8,512,0,4,154,15.6,7,10,12,55,58490
15,12,8,512,0,4,39,15.6,7,8,16,73,64000
3,18,16,1000,0,4,134,17.3,19,10,12,80,329990
17,11,16,512,0,4,121,14.1,7,4,8,62,40990
6,11,8,512,0,4,140,14.0,3,4,8,56,73740
1,104,8,512,0,4,97,15.6,7,4,8,56,52490
9,10,8,512,0,4,123,14.0,7,2,4,57,45500
19,16,8,512,0,4,123,15.6,7,10,12,60,67990
19,22,16,512,0,4,154,16.0,20,12,16,73,149990
19,22,16,512,0,4,154,14.0,20,12,16,72,139990
19,22,16,1000,0,4,154,14.0,20,12,16,74,155990
19,21,16,512,0,4,154,14.0,20,12,16,71,131990
19,21,16,512,0,4,134,15.6,7,12,16,71,114990
14,40,8,512,0,4,96,15.6,7,6,12,60,38490
19,21,16,512,0,4,134,13.3,7,10,12,67,109990
19,22,16,1000,0,4,134,13.3,7,10,12,69,133990
19,22,16,512,0,4,134,13.3,7,10,12,67,117990
19,21,16,512,0,4,134,16.0,20,12,16,75,155990
19,22,16,1000,0,4,154,16.0,20,12,16,74,165990
19,22,16,512,0,4,134,16.0,20,12,16,81,163990
19,22,16,512,0,4,134,15.6,7,12,16,73,122990
19,22,16,1000,0,4,134,16.0,20,12,16,82,179990
14,11,8,512,0,4,38,15.6,7,4,8,71,52900
1,34,8,256,0,4,96,14.0,3,2,4,53,25990
6,49,8,512,0,4,100,15.6,7,6,12,68,49441
1,15,8,512,0,4,134,15.6,7,6,8,54,39990
14,47,8,256,1000,4,38,15.6,7,6,12,73,56990
14,40,16,512,0,4,91,14.0,8,6,12,74,61590
9,98,16,512,0,4,96,15.6,7,6,12,63,49123
9,16,8,512,0,4,46,15.6,7,8,12,75,77990
3,55,16,512,0,4,49,15.6,7,8,16,80,96085
9,105,8,512,0,4,46,16.1,7,6,12,72,63990
3,8,8,512,0,4,38,15.6,7,4,8,63,54990
9,16,16,512,0,4,136,15.6,7,12,16,65,69990
19,18,16,512,0,4,134,15.6,0,8,16,74,129990
